Timestamp,PPS,Avg_Latency_ms,Mode,Workers
21:42:03,29.25,0.4926,SEQUENTIAL,1
21:42:04,33.72,0.4897,SEQUENTIAL,1
21:42:06,4.40,0.4899,SEQUENTIAL,1
21:42:07,48.00,0.4998,SEQUENTIAL,1
21:42:08,6.84,0.5027,SEQUENTIAL,1
21:42:09,14.66,0.5032,SEQUENTIAL,1
21:42:11,4.16,0.5019,SEQUENTIAL,1
21:42:13,3.39,0.5014,SEQUENTIAL,1
21:42:14,13.69,0.5015,SEQUENTIAL,1
21:42:15,19.52,0.5006,SEQUENTIAL,1
21:42:16,7.34,0.5004,SEQUENTIAL,1
21:42:17,1.84,0.5003,SEQUENTIAL,1
21:42:18,2.83,0.4998,SEQUENTIAL,1
21:42:20,10.48,0.5001,SEQUENTIAL,1
21:42:21,2.49,0.4996,SEQUENTIAL,1
21:42:23,9.56,0.4998,SEQUENTIAL,1
21:42:24,5.82,0.4992,SEQUENTIAL,1
21:42:28,4.69,0.5018,SEQUENTIAL,1
21:42:29,9.53,0.5014,SEQUENTIAL,1
21:42:31,20.93,0.5004,SEQUENTIAL,1
21:42:32,6.28,0.5018,SEQUENTIAL,1
21:42:33,7.06,0.5019,SEQUENTIAL,1
21:42:34,3.80,0.5042,SEQUENTIAL,1
21:42:35,42.95,0.5086,SEQUENTIAL,1
21:42:36,53.67,0.5103,SEQUENTIAL,1
21:42:38,15.96,0.5069,SEQUENTIAL,1
21:42:39,9.25,0.5060,SEQUENTIAL,1
21:42:41,1.70,0.5053,SEQUENTIAL,1
21:42:42,10.73,0.5043,SEQUENTIAL,1
21:42:44,39.38,0.5012,SEQUENTIAL,1
21:42:45,72.98,0.4967,SEQUENTIAL,1
21:42:46,3.41,0.4958,SEQUENTIAL,1
21:42:48,1.24,0.4960,SEQUENTIAL,1
21:42:49,9.77,0.4956,SEQUENTIAL,1
21:42:50,70.15,0.4963,SEQUENTIAL,1
21:42:51,51.08,0.5003,SEQUENTIAL,1
21:42:53,2.83,0.5011,SEQUENTIAL,1
